name,lst_c,lst_sd,canopy_pct,impervious_pct
HANCOCK,47.61011860816213,2.8636583893882492,17.444570524675527,46.76417030462165
WEST CONGRESS,47.914206783333896,2.6308625422479066,18.535563605199027,46.99792147644917
HIGHLAND,50.80353861125818,2.0771258916681297,9.625764800624092,64.45662224035458
SOUTH LAMAR,49.215957928481075,2.75956116956109,20.54415801448656,55.165688563602835
UT,49.81494472219634,1.6932338194165923,10.46670787451187,69.67953545397191
ZILKER,47.41181789301447,2.5074358954488356,20.337640195492515,46.39094496975395
UPPER BOGGY CREEK,47.48062237432131,2.1502736124552504,20.56225000999435,42.25765291777807
OLD ENFIELD,45.839705361889465,1.8183461580886413,28.0958637959818,33.689864184164435
NORTH UNIVERSITY,48.68625090559404,1.8839074639896671,16.590283192514665,52.78055917620105
TRIANGLE STATE,50.401287074632656,2.5621821550868833,8.912205672459228,59.89913727937028
NORTH LAMAR,51.08973284607379,1.926331296470938,10.852264998691178,62.012972697982086
GARRISON PARK,49.01666471290103,1.9344499509604753,20.95457464354261,40.65567898177872
GEORGIAN ACRES,50.0447373978647,2.481966317597353,11.693621629369817,58.288674666166706
EAST CONGRESS,49.800938907793764,2.5661329206310177,13.878214787756148,63.52694073106932
WOOTEN,51.24131799177523,1.6870886341985922,10.409029131553389,63.34913948696088
SWEETBRIAR,50.35198533248852,1.9853797106526203,15.500426031658796,55.61550075490686
RMMA,50.46647415254077,2.010234235885124,8.56876078885289,72.84549780678786
MLK,46.96583117088803,3.0669902775925575,22.196332803560566,31.394900105384256
WINDSOR HILLS,49.814364345296795,2.4234090804142427,16.694491466590097,49.56379063631389
SOUTH MANCHACA,47.57297404462063,2.0161842309540345,23.639600829064225,37.19919454527621
NORTH SHOAL CREEK,50.65341636520229,1.723252662726335,10.10555643186822,70.83589130131382
MONTOPOLIS,48.93808333065942,2.3829358698914525,15.469296326823912,45.60987574179426
HOLLY,48.34943191416843,3.307995358353254,14.0445318279857,50.468380789422824
OLD WEST AUSTIN,48.60436187079578,2.2296472822286284,16.766686800994446,54.908464760328854
JOHNSTON TERRACE,47.5032586478678,3.6929392955006124,18.61604290167433,41.88837844479152
CORONADO HILLS,50.98648849021253,2.064877798581134,13.275703150753388,59.28824455945223
MCKINNEY,48.53930758151232,4.2017839270778135,20.185019887731617,50.0838077159892
PECAN SPRINGS-SPRINGDALE,47.36787415285044,3.6547879295788017,26.709681565909275,31.838173722514476
HERITAGE HILLS,50.36554597046983,2.7872233958564396,12.991161084231193,57.91514817796316
BRENTWOOD,49.269458293836394,1.870775754711825,12.271196633703033,54.441909246759266
BARTON HILLS,44.890470198374764,3.4460371276921764,36.90089865036885,27.083788860856444
SOUTH RIVER CITY,46.91338372518763,2.943890460964827,25.00242866948047,48.43041414369739
EAST CESAR CHAVEZ,48.527641850914506,2.687863090726512,12.609480921444478,54.61932203322048
UNIVERSITY HILLS,47.72048485514316,2.2291882606536646,21.748195299254387,39.757340659683734
GATEWAY,49.545505473743326,3.119429553401912,17.244161830139685,67.7707164565051
WEST UNIVERSITY,49.67717889603321,1.9044058750659818,12.382278760464605,70.14324337292474
BOULDIN CREEK,47.30505162621413,2.616707804721758,21.00945982891861,49.787717761179174
WESTGATE,48.577841916217665,2.6409955431837346,19.71830077791735,46.789550527491954
ST. EDWARDS,49.03390866427255,2.6730064616953855,16.091038134760876,52.24669669633614
NORTH AUSTIN CIVIC ASSOCIATION,50.918040696559444,1.6710051302459197,12.217824113538086,61.374302954871325
CENTRAL EAST AUSTIN,49.96759490171488,1.635083076790855,13.496053931821349,52.64555014973224
WEST AUSTIN NEIGHBORHOOD GROUP,44.77416517990866,4.003851529210913,29.13345755843402,29.65191439339825
WEST OAK HILL,47.73161171874063,2.4913282828145293,27.639029014014422,24.44423050655721
MLK-183,46.66817121046169,3.1059081725268523,22.99498099306816,32.85100820606661
EAST OAK HILL,45.99641519943892,3.5960747199376146,31.94865905635752,29.560391503978877
HYDE PARK,46.627687053131666,2.3225250851717107,19.007579376305298,39.5503190640787
GOVALLE,48.079218712170764,3.0529093114276833,15.289315961008917,49.55855113687882
SOUTHEAST,49.10508117509664,2.5971914040658772,13.255345240301056,38.6372195395388
ST. JOHN,51.62878165514186,1.3594243523096197,9.919850720442962,70.09576205425452
FRANKLIN PARK,49.7122281146968,2.69483068540124,17.223114940834343,50.0226950981302
RIVERSIDE,50.475991729663626,2.935613796218238,14.363535821795336,67.84983917527744
WINDSOR ROAD,46.3536345793996,2.268585211346843,25.265904937399352,38.86574662386012
PARKER LANE,48.80339220391105,3.3895437223294063,23.079916259066803,51.95605522907601
CHESTNUT,48.76319797431363,1.131596215343222,16.076047326797404,51.488917949556225
NORTH LOOP,49.95745212007433,2.093454598918587,11.153412108905169,60.62336115944335
GALINDO,47.82097195585228,2.1753161774674314,22.35441537717352,42.74210011814589
WINDSOR PARK,49.5613887791544,2.122897801110751,15.57765200157842,48.95471940635258
PLEASANT VALLEY,46.64760931791936,3.841803547893875,24.742465408546526,31.252317595106852
CRESTVIEW,49.390956590288674,1.9339289106181317,11.365619350565114,52.487171602379846
ROSEWOOD,49.3195267239121,2.311487813056827,16.475345276398357,46.37626127060434
DAWSON,48.32705140914431,1.5716444790856663,16.420464368349627,53.737349318063686
NORTH BURNET,50.691478815212136,2.215084538209249,9.460641634110884,71.85823108571634
DOWNTOWN,49.33013043570244,2.669962466333573,9.381423710943375,78.10706854112708
ROSEDALE,48.06229703164124,2.4842928302186227,17.53479265903287,48.18921276371405
ALLANDALE,48.11871273082302,2.5462450334578977,16.636857672173154,42.20970141885373
